# BIPV/PV Criteria Mapping Framework
# 21 GBRS × 12 Technical Dimensions
# 
# For each cell: 
#   0 = Not mentioned at all
#   1 = Mentioned indirectly (e.g., "renewable energy" without specifying PV)
#   2 = Mentioned explicitly (e.g., "solar PV", "photovoltaic")
#   3 = Dedicated credit/criteria with specific requirements
#
# Plus metadata columns: credit_id, category, points, requirement_type, exact_text

GBRS,Dim,Score,Credit_ID,Category,Points_Available,Total_System_Points,Requirement_Type,Exact_Language,Notes
LEED,A_Roof_PV,2,EAc5,Energy & Atmosphere,5,110,Performance,"on-site renewable energy systems","Tier 1: on-site generation; no distinction roof vs other"
LEED,B_Facade_PV,1,EAc2,Energy & Atmosphere,18,110,Performance,"optimize energy performance","Facade PV can contribute to energy model but no specific pathway"
LEED,C_Window_Curtain_PV,0,,,,,,,"No mention of window PV or PV glazing"
LEED,D_Shading_PV,0,,,,,,,"No mention of PV shading devices"
LEED,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
LEED,F_Thermal_Envelope,1,EAp2,Energy & Atmosphere,prereq,110,Prescriptive,"minimum energy performance; envelope requirements","Envelope modeled but no PV-specific thermal guidance"
LEED,G_Daylighting_Visual,1,EQc7,Indoor Environmental Quality,3,110,Performance,"spatial daylight autonomy >= 55%","No mention of semi-transparent PV or PV shading for daylight"
LEED,H_Materials_LCA,1,MRc1,Materials & Resources,2,110,Performance,"building product disclosure and optimization; EPD","PV modules could earn EPD credit but not specified"
LEED,I_Carbon_Accounting,1,EAc2,Energy & Atmosphere,18,110,Performance,"GHG emissions metric added in v4.1","PV reduces operational carbon in model"
LEED,J_EV_Storage,1,LTc8,Location & Transportation,1,110,Prescriptive,"electric vehicle charging; 2% of parking spaces","No explicit link between EV charging and on-site PV"
LEED,K_Design_Integration,1,IPc1,Integrative Process,1,110,Process,"early design analysis of energy systems; massing and orientation","Encourages but does not require solar analysis"
LEED,L_Innovation,2,INc1,Innovation,5,110,Performance,"exemplary performance in renewable energy","Can earn extra point for exceeding RE thresholds"
BREEAM,A_Roof_PV,2,Ene01,Energy,15,112,Performance,"reduction of energy use and carbon emissions","PV contributes to carbon reduction via modeling"
BREEAM,B_Facade_PV,1,Ene01,Energy,15,112,Performance,"energy modeling includes all building surfaces","Facade PV can be modeled but no dedicated pathway"
BREEAM,C_Window_Curtain_PV,1,Hea01,Health & Wellbeing,4,112,Performance,"visual comfort; view out; daylight","PV glazing could affect compliance but not addressed"
BREEAM,D_Shading_PV,1,Hea01,Health & Wellbeing,4,112,Performance,"glare control; external solar shading","Solar shading mentioned but not PV-integrated shading"
BREEAM,E_Glass_Energy_PV,0,,,,,,,"No glass-integrated PV criteria"
BREEAM,F_Thermal_Envelope,2,Ene01,Energy,15,112,Performance,"building fabric performance; U-values","Envelope thermal performance modeled; BIPV products could be included"
BREEAM,G_Daylighting_Visual,2,Hea01,Health & Wellbeing,4,112,Performance,"daylight factor; uniform ratio; view out","Detailed daylight requirements but no PV glazing guidance"
BREEAM,H_Materials_LCA,3,Mat01,Materials,7,112,Performance,"whole building LCA; EN 15978","PV module embodied carbon included in LCA scope"
BREEAM,I_Carbon_Accounting,3,Ene01,Energy,15,112,Performance,"net zero carbon framework; operational + embodied","PV essential for net-zero carbon pathway"
BREEAM,J_EV_Storage,1,Tra02,Transport,2,112,Prescriptive,"provision of EV charging points","No explicit PV-EV synergy"
BREEAM,K_Design_Integration,3,Ene04,Energy,2,112,Process,"MANDATORY LZC feasibility study; Criterion 9","Must consider PV among LZC options at design stage"
BREEAM,L_Innovation,2,Inn01,Innovation,10,112,Performance,"exemplary performance; net-zero carbon","Innovation for exceeding energy/carbon targets"
Green Mark,A_Roof_PV,3,EE-RE,Energy Efficiency,20,100,Prescriptive,"renewable energy bonus points; kWp-based and %-based","Strongest direct PV incentive; 1pt per 3kWp or 1% energy"
Green Mark,B_Facade_PV,2,EE-RE,Energy Efficiency,20,100,Prescriptive,"onsite renewables maximised; facade PV in SLE guidance","SLE programme explicitly references facade PV potential"
Green Mark,C_Window_Curtain_PV,1,EE,Energy Efficiency,,100,Performance,"ETTV/RETV calculation; window thermal properties","PV glazing could contribute to ETTV but no explicit guidance"
Green Mark,D_Shading_PV,2,EE,Energy Efficiency,,100,Performance,"solar heat gain reduction; shading coefficient","PV shading devices mentioned in design guidance"
Green Mark,E_Glass_Energy_PV,1,EE,Energy Efficiency,,100,Performance,"glazing U-value; SHGC requirements","Glass performance addressed but not PV-integrated glass"
Green Mark,F_Thermal_Envelope,3,EE,Energy Efficiency,,100,Prescriptive,"ETTV <= 50 W/m2 (commercial); RETV requirements","Mandatory envelope thermal performance; PV facade affects ETTV"
Green Mark,G_Daylighting_Visual,2,HW,Health & Wellbeing,10,100,Performance,"indoor environmental quality; natural lighting","Daylight addressed; PV shading interaction not specified"
Green Mark,H_Materials_LCA,2,CN,Whole Life Carbon,10,100,Performance,"embodied carbon assessment; lifecycle approach","PV embodied carbon considered in whole life carbon section"
Green Mark,I_Carbon_Accounting,3,EE,Energy Efficiency,,100,Performance,"SLE/ZE/PE tiers; net-zero energy pathway","Clear net-zero pathway with PV as primary strategy"
Green Mark,J_EV_Storage,2,IN,Intelligence,10,100,Performance,"smart energy management; EV-ready provisions","Links PV generation to building energy management system"
Green Mark,K_Design_Integration,3,EE,Energy Efficiency,,100,Process,"MANDATORY solar feasibility study Stage 1 and Stage 2","Must assess renewable potential at design and verify post-completion"
Green Mark,L_Innovation,2,EE,Energy Efficiency,,100,Performance,"bonus for exceeding energy targets; PE 115% tier","Points for surpassing renewable energy thresholds"
BEAM Plus,A_Roof_PV,2,EU5,Energy Use,5,120,Prescriptive,"on-site renewable energy; 0.2-2% thresholds","Tiered credit: 1pt per 0.2% increment up to 2%"
BEAM Plus,B_Facade_PV,3,EU5a,Energy Use,5,120,Prescriptive,"BIPV or solar thermal explicitly named (p.313)","ONLY system naming BIPV in credit text"
BEAM Plus,C_Window_Curtain_PV,1,EU5,Energy Use,5,120,Prescriptive,"renewable energy systems on building","High-rise guidance mentions facade-mounted systems"
BEAM Plus,D_Shading_PV,1,EU5,Energy Use,5,120,Prescriptive,"renewable energy systems","Shading PV not specifically mentioned but could qualify"
BEAM Plus,E_Glass_Energy_PV,1,EU4,Energy Use,,120,Performance,"building envelope design; glazing performance","Glazing thermal performance addressed; no PV glass"
BEAM Plus,F_Thermal_Envelope,2,EU4,Energy Use,,120,Performance,"sustainable building envelope design","Envelope performance credit exists; PV facade could contribute"
BEAM Plus,G_Daylighting_Visual,1,IEQ,Indoor Environmental Quality,,120,Performance,"daylight; visual comfort","Standard daylight requirements; no PV glazing guidance"
BEAM Plus,H_Materials_LCA,1,MA,Materials & Waste,,120,Performance,"materials lifecycle","No specific PV materials assessment"
BEAM Plus,I_Carbon_Accounting,1,EU,Energy Use,,120,Performance,"energy reduction targets","PV reduces energy consumption metric"
BEAM Plus,J_EV_Storage,1,EU,Energy Use,,120,Performance,"energy management","No explicit PV-EV link"
BEAM Plus,K_Design_Integration,2,EU5,Energy Use,1,120,Process,"solar feasibility study earns 1 credit","Encouraged via credit but not mandatory prerequisite"
BEAM Plus,L_Innovation,1,BO,Bonus,5,120,Performance,"bonus credits for exceeding 2% renewable","Extra points for going beyond base RE requirement"
DGNB,A_Roof_PV,2,ENV2.1,Environment,varies,,Performance,"primary energy demand; renewable contribution","PV generation reduces primary energy demand"
DGNB,B_Facade_PV,3,TEC1.3,Technical Quality,varies,,Performance,"building envelope quality; facade-integrated renewables","Explicitly discusses facade-integrated PV systems"
DGNB,C_Window_Curtain_PV,2,TEC1.3,Technical Quality,varies,,Performance,"adaptive facade and window systems","Window-integrated PV discussed in facade quality criteria"
DGNB,D_Shading_PV,2,TEC1.3,Technical Quality,varies,,Performance,"solar shading; adaptive systems","PV shading devices part of facade quality assessment"
DGNB,E_Glass_Energy_PV,2,TEC1.3,Technical Quality,varies,,Performance,"glass with photovoltaic capabilities","Explicit mention of PV glass technology"
DGNB,F_Thermal_Envelope,3,TEC1.3,Technical Quality,varies,,Performance,"building envelope thermal quality; U-values","Comprehensive envelope assessment; BIPV thermal contribution recognized"
DGNB,G_Daylighting_Visual,2,SOC1.1,Sociocultural,varies,,Performance,"visual comfort; daylight; glare protection","Daylight quality assessment; PV shading interaction considered"
DGNB,H_Materials_LCA,3,ENV1.1,Environment,varies,,Performance,"whole building LCA; EN 15978; includes PV modules","PV embodied carbon explicitly in LCA scope"
DGNB,I_Carbon_Accounting,3,ENV1.1,Environment,varies,,Performance,"lifecycle carbon assessment; operational + embodied","Comprehensive carbon accounting includes PV lifecycle"
DGNB,J_EV_Storage,2,TEC1.5,Technical Quality,varies,,Performance,"smart building technology; energy storage","Links PV to building energy management and storage"
DGNB,K_Design_Integration,2,PRO1.1,Process Quality,varies,,Process,"integrated planning; energy concept required","Energy concept at design stage inherently includes PV consideration"
DGNB,L_Innovation,2,NSE,Innovation,varies,,Performance,"exemplary performance; innovative approaches","Awards innovation in renewable integration"
CASBEE,A_Roof_PV,1,LR3,Energy,varies,,Performance,"renewable energy introduction; energy load reduction","PV contributes to reducing energy load"
CASBEE,B_Facade_PV,1,LR3,Energy,varies,,Performance,"energy efficiency measures","Facade PV not specifically addressed"
CASBEE,C_Window_Curtain_PV,0,,,,,,,"No window PV criteria"
