GBRS,Version,Country,Dimension,Credit_ID,Credit_Name,Category,PV_Relevance,Verbatim_Text,Page_Ref,Implication,Data_Quality
LEED,v4.1 BD+C,USA,D-EV,credit applies,—,Sustainable Transport,Neutral with potential,LT Credit: Electric Vehicles This credit applies to  BD+C: New Construction (1 point)  BD+C: Core and Shell (1 point)  BD+C: Schools (1 point)  BD+C: Retail (1 point)  BD+C: Data Centers (1 point)  BD+C: Warehouses and Distribution Centers (1 point)  BD+C: Hospit…,39,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
LEED,v4.1 BD+C,USA,D-EV,on-site,—,Sustainable Transport,Neutral with potential,"Warehouses and Distribution Centers (1 point)  BD+C: Hospitality (1 point)  BD+C: Healthcare (1 point) Intent To reduce pollution by promoting alternatives to conventionally fueled automobiles. Requirements NC, CS, DATA CENTERS, HOSPITALITY, RETAIL, HEALTHCARE Provide…",39,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
LEED,v4.1 BD+C,USA,D-EV,on-site,—,Sustainable Transport,Neutral with potential,"BD+C: Hospitality (1 point)  BD+C: Healthcare (1 point) Intent To reduce pollution by promoting alternatives to conventionally fueled automobiles. Requirements NC, CS, DATA CENTERS, HOSPITALITY, RETAIL, HEALTHCARE Provide charging infrastructure for electric vehicles f…",39,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
LEED,v4.1 BD+C,USA,D-EV,on-site,—,Sustainable Transport,Neutral with potential,"electric vehicles for on-site parking. Option 1. Electric Vehicle Charging (1 point) Install electrical vehicle supply equipment (EVSE) in 2% of all parking spaces used by the project or at least two spaces, whichever is greater. Clearly identify and reserve these space…",39,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
LEED,v4.1 BD+C,USA,D-EV,plug-in,—,Sustainable Transport,Neutral with potential,"ify and reserve these spaces for the sole use by plug-in electric vehicles. The EVSE must: • Provide a Level 2 charging capacity (208 – 240 volts) or greater. • Comply with the relevant regional or local standard for electrical connectors, such as SAE Surface Vehicle Re…",39,EV credit creates indirect PV demand; recommend explicit solar-charged EV pathway.,verified
LEED,v4.1 BD+C,USA,D-CARBON,"G
2",—,Energy & Atmosphere,Neutral with potential,"90.1-2016 Section G 2.4.1 requirements for on-site renewable energy may be used to meet minimum ASHRAE Standard 90.1-2016 performance requirements. Guidance Refer to the LEED v4 reference guide, with the following additions and modifications: Beta Update Updated referen…",95,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LEED,v4.1 BD+C,USA,D-CARBON,"credit
for",—,Energy & Atmosphere,Enabling,"documents are finalized.  For elements or systems that cannot be readily modeled by the software or to document credit for unregulated loads, use the Exceptional Calculation Method (see Further Explanation, Exceptional Calculation Method and Common Issues with Energy M…",98,Carbon neutrality target implicitly requires PV at scale; BIPV maximises generation area.,verified
LEED,v4.1 BD+C,USA,D-CARBON,on-site,—,Energy & Atmosphere,Neutral with potential,"produced at the building site”, which includes on-site photovoltaics systems, wind generators, or thermal or electric generation from biofuel sourced from the project or campus site, but does not include electric generation or thermal generation from off- site renewable…",98,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LEED,v4.1 BD+C,USA,D-CARBON,off-site,—,Energy & Atmosphere,Neutral with potential,", but does not include electric generation or thermal generation from off- site renewable sources.  Energy costs and greenhouse gas emissions offset by New off-site renewable energy systems qualifying under EA credit Renewable Energy may be included in the model for ac…",98,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
LEED,v4.1 BD+C,USA,D-CARBON,rough 8,—,Energy & Atmosphere,Neutral with potential,"rough 8 are modeled with fossil fuel heating. Schedules Refer to the LEED v4 reference guide. Energy Savings For EA prerequisite Minimum Energy Performance and EA credit Optimize Energy Performance, modeled energy savings must be reported on an energy cost basis using a…",103,Carbon credit mathematically requires renewable generation; BIPV not yet named.,verified
