GBRS,Version,Country,Credit_ID,Credit_Name,Category,Max_Points,Total_System_Points,Req_Type,PV_Language_Verbatim,BIPV_BAPV_Distinction,App_Roof,App_Facade,App_Window,App_Shading,Feasibility_Study,Innovation_Credit,PV_Verification,Cross_Category,Notes,Data_Quality
LEED,v4.1 BD+C,USA,EAc-RE,Renewable Energy,Energy & Atmosphere,5,110,Performance,"Use on-site renewable energy systems, procure renewable energy offsite, or purchase Energy Attribute Certificates (EACs) or carbon offsets to meet or offset annual building greenhouse gas emissions. Examples of on-site renewable energy generation include: A photovoltaic array located on the project site.",No,Yes,No,No,No,Not mentioned,Yes,Required (commissioning),No,"Total system 110 pts. Exemplary performance at 100% on-site RE. No BIPV/BAPV distinction. On-site PV explicitly listed as qualifying system. Credit uses GHG-based metric not % energy. Page 135-142.",verified
LEED,v4.1 BD+C,USA,IPc1,Integrative Process,Integrative Process,1,110,Process,"Massing and orientation. Assess how massing and orientation affect HVAC sizing, energy consumption, lighting, and renewable energy opportunities.",No,Yes,No,No,Yes,Not mentioned,No,Not mentioned,Partial,"Encourages solar analysis as part of energy-related systems discovery (page 14-17) but does not require solar feasibility specifically for PV. Indirect PV relevance.",verified
BREEAM,NC 2018,UK,Ene01,Reduction of energy use and carbon emissions,Energy,9 (+ 5 exemplary),428,Performance,"Energy generation from on-site and near-site LZC sources is sufficient to offset carbon emissions from regulated energy use plus a percentage of emissions from unregulated energy use. (Criterion 7, p.146). The building is deemed carbon negative where >100% of carbon emissions from unregulated (and regulated) energy use are offset by energy generated from on-site and near-site LZC sources (Criterion 9).",No,Yes,No,No,No,Not mentioned,Yes (exemplary 10-100%),Required (post-occupancy stage Criteria 10-12),Partial,"LZC = Low/Zero Carbon. PV qualifies as LZC technology but BIPV not specifically named. Exemplary credits require net-zero and beyond. Post-occupancy energy monitoring required for 2 extra credits. Pages 144-155. Total system 428 pages but 100 weighted credits.",verified
BREEAM,NC 2018,UK,Ene04,Low carbon design,Energy,3,428,Hybrid,"Ensure that the most appropriate recognised local (on-site or near-site) low and zero carbon (LZC) energy sources are adopted for the building or development, based on the feasibility study. (Criteria 9-12, p.169). Recognised local LZC technologies: Technologies eligible to contribute to achieving the criteria must produce energy from renewable sources and meet all other ancillary requirements as defined by Directive 2009/28/EC.",No,Yes,No,No,No,Required (Criterion 9 mandatory),Yes,Not mentioned,No,"LZC feasibility study mandatory at Concept Design stage (Criterion 9). Must cover all technologies including PV. Microgeneration scheme certification required for <50kWe. Novel LZC tech (e.g. BIPV facade) needs SBEM-Q approval. Pages 167-175.",verified
Green Mark,GM:2021,Singapore,EE-Pathway 1/2/3,Energy Efficiency (Renewable Energy component),Energy Efficiency,20 (bonus) / prerequisite,100 (base),Performance / Prescriptive,"Full recognition of passive design strategies and renewable energy systems' contribution to energy savings. Note on Renewable Energy: During design or pre-retrofit stage, the expected renewable energy generated percentage and the total annual electricity consumption of the development shall be calculated. Technical product information of the renewable energy system and detailed drawings showing the location of the system shall be provided.",No,Yes,No,No,No,Mandatory (Stage 1 & 2 Verification for new buildings),Yes,Required (12-month verification audit Stage 2),Partial,"Renewable energy counted toward EUI or Energy Savings percentage. No onsite RE cap under Pathway 3. ZE requires 100% RE; PE requires 115% from onsite RE. Feasibility study implicit in verification process. No explicit BIPV naming but SLE program recognized facade PV. Pages 7-10 (energy simplified doc).",verified
Green Mark,GM:2021,Singapore,ZE/PE,Zero Energy / Positive Energy Building,Energy Efficiency,N/A (certification tier),100,Performance,"Zero Energy (ZE): Use of onsite and off-site renewable energy to generate at least 100% of energy needed for building operation, including all process/receptacle loads. Positive Energy (PE): Use of onsite renewable energy to generate at least 115% of energy needed for building operation.",No,Yes,Partial,No,No,Mandatory,Yes,Required,No,"PE requires 115% onsite only (facades needed to maximize generation area). ZE allows off-site REC. SLE = 60% energy savings minimum. Pages 9 (certification standard).",verified
BEAM Plus,v2.0 (2025 ed.),Hong Kong,EU5a,Solar Energy Feasibility Study,Energy Use,1,120 (approx),Process,"Conduct a feasibility study to evaluate the potential of standalone and building-integrated installation in harnessing solar energy including photovoltaic and solar water heating. 1. Consideration of PV, BIPV or solar thermal potential installation. 1.1 Number of potential surfaces; 1.2 Potential surfaces area.",Yes (BIPV explicitly listed),Yes,Yes,No,No,Encouraged (1 credit),No,No,No,"BEAM Plus explicitly names BIPV in feasibility study scope (page 313). Feasibility study earns 1 credit but no obligation to implement. Must be endorsed by Locally Qualified Professional with 3+ years RE experience.",verified
BEAM Plus,v2.0 (2025 ed.),Hong Kong,EU5b,On-site Renewable Energy Application,Energy Use,5 + 5 bonus,120 (approx),Performance,"Calculate the percentage of annual building energy consumption obtained from all renewable energy applications on site. Examples include: 5.1. Solar photovoltaic (PV) System; 5.2. Solar water heating system; 5.3. Wind power system; 5.4. Bio-gas heating/electricity generation; 5.5. Biofuel.",No,Yes,No,No,No,Not required,Yes (bonus credits),Not required,No,"Credits: 0.2% = 1 credit up to 2% = max 10 credits (5+5B). Very low ambition threshold. Total system ~120 pts. Solar PV explicitly listed but no BIPV/BAPV distinction for this sub-credit. Pages 312-317.",verified
DGNB,NC 2020 International,Germany,ENV1.1,Building Life Cycle Assessment,Environmental Quality,130 (+ bonuses),1000 (variable),Performance,"On site generated renewable energy can at least compensate the building energy demand related CO2 equiv. emissions. (4.1.1, p.5). Building generates energy 'for other users': The excess energy is recorded in the life cycle assessment and incorporated into the life cycle assessment evaluation. (5.2). Standards referenced: EN 15316-4-3: thermal solar and photovoltaic systems (p.61).",No,Yes,Partial,No,No,Required (LCA in planning required),Yes (Agenda 2030 bonus),Encouraged (lifecycle monitoring),Yes,"BIPV recognized through LCA methodology - PV as building component assessed in lifecycle. Circular economy bonus for excess energy generation. EN 15316-4-3 for PV referenced. No explicit BIPV vs BAPV distinction in this document but facade LCA included. Pages 1-10, 61.",verified
Passive House,Classic/Plus/Premium (v10c 2023),Germany,PER,Primary Energy Renewable Balance,Energy,N/A (pass/fail criteria),N/A,Performance,"Renewable energy generation (with reference to projected building footprint) [kWh/(m²a)] ≥ 60 (Plus), ≥ 120 (Premium). PV system: data sheets of the collectors and inverters used, indicating the necessary input parameters (note: no evidence is required relating to batteries connected to the PV system). Photovoltaic panels: areas covered with rear ventilated solar collectors or photovoltaic panels (including the areas required between the panels) are excluded from cool colour criterion.",No,Yes,Partial,No,No,Not required (PHPP calculation implicit),No (system is binary pass/fail),Required (PHPP; blower door test),Partial,"Plus requires 60 kWh/m²a RE generation; Premium 120 kWh/m²a relative to building footprint. PV generation counted toward PER. Classic tier has no generation requirement. Facade PV can contribute but no specific pathway. Section 2.1 Table 1, 3.2.9, pages 10-34.",verified
