GBRS,Country,Version,D1_Credit_Weight,D1_Justification,D2_BIPV_Specificity,D2_Justification,D3_Application_Coverage,D3_Justification,D4_Design_Integration,D4_Justification,D5_Ambition_Level,D5_Justification,D6_Performance_Verification,D6_Justification,D7_Synergy_Envelope,D7_Justification,D8_Innovation_Pathway,D8_Justification,Manual_Verified
LEED,USA,v4.1 BD+C,1,"EAc-RE Renewable Energy: 5/110 pts (~4.5%). On-site PV explicitly listed as qualifying system using GHG-based metric not % energy. Pages 135-142.",1,"No distinction between BIPV and BAPV; EAc-RE uses generic 'on-site renewable energy systems'; photovoltaic array named but no building-integration distinction. Pages 135-142.",1,"Only rooftop PV typically counted; facade PV can contribute to energy model but no specific pathway. IPc1 (p.14-17) encourages but does not require solar analysis.",1,"No mandatory solar study; IPc1 Integrative Process encourages but does not require solar feasibility. Pages 14-17.",1,"1-3% energy from renewables for max 5 pts; no net-zero requirement in base system; Exemplary Performance at 100% but not required.",1,"Commissioning required (EAc3-5); no ongoing PV-specific performance verification. Pages 135-142.",0,"PV only counts in Energy & Atmosphere category; no crossover to Materials or envelope credits.",2,"Innovation credit available for exemplary renewable energy performance (100% on-site RE).",True
BREEAM,UK,NC 2018,2,"Ene01 up to 9+5 credits for carbon reduction (~11% of weighted 100); Ene04 LZC feasibility 1-3 credits. Criterion 7 p.146 for LZC energy offset. Pages 144-175.",1,"No explicit BIPV term in Ene01 or Ene04; treats all LZC technologies generically. Ene04 p.169 lists eligible LZC technologies under Directive 2009/28/EC but no BIPV/BAPV distinction.",1,"Feasibility study considers all renewables including PV; roof PV most common; facade mentioned indirectly via novel LZC tech (SBEM-Q approval needed). Ene04 pages 167-175.",3,"Ene04 Criterion 9 MANDATORY LZC feasibility study at Concept Design stage. Must consider all LZC technologies including PV. Pages 167-175.",3,"Full Ene01 exemplary credits require net-zero and carbon-negative beyond; Criterion 9 very ambitious. Pages 144-155.",1,"Post-construction commissioning; Ene01 Criteria 10-12 require post-occupancy energy monitoring for 2 additional credits. Pages 150-155.",1,"PV reduces carbon in Energy category; minor link to envelope thermal modeling via whole-building carbon modeling.",2,"Innovation credit for exemplary net-zero and net-positive carbon performance (Ene01 Criteria 8-9).",True
Green Mark,Singapore,GM:2021,3,"Renewable Energy section: up to 20 bonus points (~20% of 100-point base). ZE/PE tiers require 100%/115% on-site RE. Stage 1 & 2 Verification mandatory for new buildings. Pages 7-10.",2,"BIPV mentioned in SLE programme guidance; solar feasibility study references facade PV; ZE/PE tiers require maximizing generation area (implying facade use). No explicit BIPV credit ID but SLE recognises facade BIPV.",2,"Roof PV primary; facade BIPV recognised in SLE programme; ZE/PE tiers effectively require facade surfaces. Pages 7-10.",3,"Solar feasibility study mandatory via Stage 1 & 2 Verification process in GM:2021; design-stage integration required. Pages 7-10.",2,"SLE requires significant RE contribution (60% energy savings minimum); ZE = 100%; PE = 115% onsite. Not all buildings required to meet ZE/PE.",3,"Post-occupancy energy audit mandatory (Stage 2 Verification); actual PV output verified over 12 months. Pages 7-10.",1,"PV primarily in Energy Efficiency; some crossover with envelope in SLE programme.",2,"Innovation points for exceeding RE targets; ZE/PE tiers reward novel BIPV integration.",True
Green Star,Australia,v1.3 D&AB,2,"Energy category ~25 points for GHG reduction on 100-point scale; PV contributes via carbon modeling.",1,"No specific BIPV credit; PV treated generically within whole-building carbon modeling.",1,"Roof PV standard; facade PV can contribute to carbon model but no dedicated pathway.",1,"No mandatory solar study; integrated design encouraged but not prescriptive for PV.",3,"6-Star World Leader effectively requires net-zero carbon; PV essential for top tier.",1,"As-built verification required; operational performance via NABERS separate.",1,"PV counted in Energy; minor interaction with Materials for lifecycle.",3,"Innovation Challenge credits can reward novel BIPV integration or net-positive energy.",False
ASGB,China,GB/T 50378-2019,1,"Section 5.2.16 Renewable energy: ~10/400 total points (~2.5%). Three RE categories assessed: domestic hot water, cooling/heating, electricity (PV counts toward electricity ratio Re). Pages 25-26 and 90.",1,"No BIPV distinction; generic renewable energy utilization. RE defined as wind/solar/water/biomass/geothermal/ocean (p.13). No building-integration distinction.",1,"Roof PV standard; solar thermal mentioned; no specific facade BIPV pathway. Section 5.2.16.",0,"No mandatory solar feasibility study. Section 5.2.16 is a performance credit only.",1,"Requires >=1% electricity RE for credits (max 10 pts at higher %); modest target. Pages 25-26.",2,"Operational assessment (运行评价) requires operational data for verification. Section 5.2.16 pages 88-91.",0,"PV only in Energy Saving section; no crossover.",1,"Innovation bonus items (加分项) exist but not specifically for BIPV.",True
BEAM Plus,Hong Kong,v2.0 NB,1,"EU5a Solar Feasibility Study: 1 credit; EU5b Renewable Energy Application: 5+5 bonus credits out of ~120 (~4-8%). Pages 312-317.",2,"EU5a explicitly names BIPV in credit scope: 'Consideration of PV, BIPV or solar thermal potential installation' (EU5a criterion 1, p.313). Only system in dataset with explicit BIPV credit language.",1,"Roof PV dominant; EU5a scope includes 'standalone and building-integrated installation'; high-rise facade PV mentioned in guidance. Pages 312-317.",2,"EU5a Solar Energy Feasibility Study earns 1 credit; encouraged but not mandatory prerequisite for EU5b. Must be endorsed by Locally Qualified Professional. Page 313.",0,"Full base credits at only ~2% energy from renewables; very low ambition. EU5b max 10 pts at 2% RE. Pages 315-317.",1,"Commissioning verification; no ongoing operational M&V for PV specifically. BEAM Plus In-Use handles existing buildings.",0,"PV only counts in Energy Use section.",1,"Bonus credits for exceeding 2% RE; generic innovation credit pathway.",True
CASBEE,Japan,2021 NC,1,"LR1.4.3 Expanding Adoption of Non-Fossil Energy: renewable energy sub-items within LR1 (~3-4% equivalent via BEE ratio). SDG 7.2.1 explicitly lists solar power. Pages 131, 134-135, 145.",1,"No BIPV distinction; renewable energy treated generically. PV described as 'converted use of natural energy' (LR1.3). SDG 7.2.1 cited but no BIPV/BAPV distinction. Pages 131-135.",1,"Roof PV standard; limited facade PV discussion. LR1.4.3 lists solar power generically. Pages 134-135.",0,"No mandatory solar feasibility study requirement. LR1.4.3 is optional scoring sub-item.",1,"Level-based scoring; modest renewable contribution expected for BEE improvement. Pages 131-145.",1,"Operational data used in CASBEE for Existing Building separate tool. CASBEE-BD 2024 requires post-occupancy data via DECC. Pages 256-259.",0,"PV within energy load reduction (LR factors); no crossover to Q quality factors.",0,"No specific innovation pathway for renewable energy in CASBEE-BD.",True
DGNB,Germany,2023 NB,2,"ENV1.1 LCA includes PV lifecycle; ENV2.1 Primary Energy; lifecycle-oriented. EN 15316-4-3 for thermal solar and PV systems referenced (p.61). Pages 1-10.",2,"BIPV recognised through LCA methodology - facade LCA explicitly included. EN 15316-4-3 covers thermal solar and PV systems. Facade BIPV assessed as building component lifecycle. Pages 1-10, 61.",2,"Roof PV standard; facade BIPV explicitly discussed in LCA methodology; building envelope as energy surface included. Pages 1-10.",2,"Energy concept required at design stage; LCA renewable study part of integrated planning. ENV1.1 requires LCA in planning phase. Pages 1-5.",2,"Significant primary energy reduction required; nearly-zero-energy as reference; EU EPBD aligned; Agenda 2030 bonus for net-positive. Pages 5-10.",2,"Lifecycle performance verification; ENV1.1 requires operational monitoring data for full LCA credit. Pages 7-10.",3,"BIPV contributes to ENV1.1 LCA + TEC technical envelope + ECO lifecycle cost — genuine multi-category integration. Page 61.",2,"Innovation area for exemplary renewable integration; Agenda 2030 bonus for excess energy generation. Pages 5-10.",True
WELL,USA,v2,0,"No direct renewable energy or PV credits; focused on health and wellbeing.",0,"No mention of BIPV or PV technology.",0,"No PV application type recognized.",0,"No solar or energy generation study required.",0,"No renewable energy ambition; energy only addressed indirectly via thermal comfort.",0,"No PV performance verification.",0,"No envelope-energy synergy for PV.",0,"No innovation pathway for PV/BIPV.",False
IGBC,India,Green New Building v3,1,"Energy section: renewable energy ~8/100 points (~8%). Note: Only 5th Addendum (2016) reviewed; full manual not available.",1,"No BIPV distinction; on-site renewable energy including solar. Full manual data not available from addendum.",1,"Roof PV primary pathway; no specific facade or window PV recognition. Based on existing matrix data.",0,"No mandatory solar feasibility study. Based on existing matrix data.",1,"Minimum 5% energy from renewables for credits.",1,"Post-occupancy monitoring encouraged but not strictly mandated for PV.",0,"PV only in Energy category.",1,"Innovation credit available but generic.",Partial
