EID,Title,Year,Source title,Cited by,DOI,Topic_Category,GBRS_Mentioned,BIPV_Application,Key_Sentences
2-s2.0-85115059972,Techno-economic and energy assessment of building integrated photovoltaic module as an envelope of the building,2021,International Transactions on Electrical Energy Systems,18,10.1002/2050-7038.13105,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Therefore, this article proposes a semi-transparent building integrated photovoltaic (BIPV) module at the vertical part of the building facade for on-site clean energy generation."
2-s2.0-85040131160,SU+RE power: Energy independence and the sustainable resilient sun,2018,Architectural Design,2,10.1002/ad.2260,BIPV+GBRS Cross,LEED; Passive House,Not specified,The use of solar power is the central requirement of the Solar Decathlon house design competition.
2-s2.0-105006894099,Scalable Perovskite Quantum Dot Glass Nanocomposites for High-Efficiency Luminescent Solar Concentrators,2025,Advanced Functional Materials,4,10.1002/adfm.202506829,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"Luminescent solar concentrators (LSCs) offer a promising approach for building-integrated photovoltaics (BIPVs) by harvesting and guiding sunlight to photovoltaic cells. | These findings establish PQD GNC LSCs as durable, scalable, and high-performance materials for next-generation BIPVs, supporting net-zero energy goals."
2-s2.0-85165879430,High-Efficiency Structural Coloration Enabled by Defect-Free Block Copolymer Self-Assembly for a Solar Cell Distributed Bragg Reflector,2023,Advanced Optical Materials,9,10.1002/adom.202301357,BIPV Technical Performance,None mentioned,Generic PV / BAPV,Solar cell coloration with minimum optical loss is increasingly required for building-integrated photovoltaics (BIPV) in modern urban areas because of its importance in harmonizing the exterior of zero-energy buildings and surroundings.
2-s2.0-85161273896,Flexible and Transparent Photovoltaic-Based Broadband Photocommunication Window,2023,Advanced Sustainable Systems,9,10.1002/adsu.202300090,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,Smart buildings and near-zero-energy buildings require building integrated photovoltaic systems to minimize energy consumption and achieve photocommunication.
2-s2.0-105018478868,Maximizing Energy Savings and Numerical Analysis of Building-Integrated Photovoltaic/Thermal Systems Cooled with Heat Pipes,2025,Advanced Sustainable Systems,1,10.1002/adsu.202500420,BIPV Technical Performance,None mentioned,Rooftop PV,
2-s2.0-85184693079,Certification Grade Quantum Dot Luminescent Solar Concentrator Glazing with Optical Wireless Communication Capability for Connected Sustainable Architecture,2024,Advanced Energy Materials,27,10.1002/aenm.202304006,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,
2-s2.0-84864853044,"Investigation of the total solar energy transmittance on buildingintegrated, semitransparent photovoltaic modules with and without extraction of electrical power; [Untersuchung des Gesamtenergiedurchlassgrades an gebäudeintegrierbaren, teiltransparenten Photovoltaik-Modulen bei elektrischer Leistungsentnahme]",2012,Bauphysik,0,10.1002/bapi.201200019,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,The total solar energy transmittance (g-value) of different building-integrated PV-elements has been measured with and without extracting electrical power from the module.
2-s2.0-84961348561,On-site electricity coverage by PV systems of nearly zero energy buildings and its estimation for various time steps in addition to the German EnEV; [Eigendeckung des Strombedarfs von Niedrigstenergiehäusern durch Photovoltaik-Anlagen - Verrechnung mit unterschiedlichen Zeitschrittweiten ergänzend zur EnEV],2015,Bauphysik,4,10.1002/bapi.201510008,Net-Zero / Zero-Energy Buildings,Passive House,Generic PV / BAPV,"Starting from the methodical aspects for calculating the on-site coverage fraction possible ways for further development of the EnEV requirement and energy certificate calculation procedure are discussed, taking into account the specific features of nearly zero-energy buildings and their role in a future energy supply system that will primarily be based on renewable energy sources."
2-s2.0-85045429253,Influence of building-integrated photovoltaics in façades for the energetic evaluation of buildings. Part 1: Potential of façade integration of photovoltaics; [Einfluss der Bauwerkintegrierten Photovoltaik in Fassaden bei der energetischen Bilanzierung von Gebäuden (Teil 1): Potenzial der Fassadenintegration von Photovoltaik],2018,Bauphysik,3,10.1002/bapi.201810007,Urban Solar Potential,None mentioned,Façade BIPV,"Influence of building-integrated photovoltaics in façades for the energetic evaluation of buildings. | Part 1: Potential of façade integration of photovoltaics. | This contribution describes the constructive, normative and energetic peculiarities of energy production at façades with building-integrated PV modules and discusses these in the scope of own consumption. | In Part 2, the operating behavior of building-integrated PV façades will be examined in detail by applying free field measurement and recommendations will be given regarding normative considerations."
2-s2.0-85048460652,Influence of Building Integrated Photovoltaic in Facades for the Energetic Evaluation of Buildings. Part 2: Operating Performance of Building Integrated Photovoltaic in Facades in the Field - Free-Field Measurements; [Einfluss der Bauwerkintegrierten Photovoltaik in Fassaden bei der energetischen Bilanzierung von Gebäuden (Teil 2): Betriebsverhalten Bauwerkintegrierter Photovoltaik in Fassaden in der Praxis – Freilandmessungen],2018,Bauphysik,0,10.1002/bapi.201810009,BIPV Technical Performance,None mentioned,Façade BIPV,"Influence of Building Integrated Photovoltaic in Facades for the Energetic Evaluation of Buildings Part 2: Operating Performance of Building Integrated Photovoltaic in Facades in the Field – Free-Field Measurements. | In part 1 of this contribution constructional, normative and energetic features for energy production on facades with Building Integrated Photovoltaics are described and discussed in the scope of own consumption. | In this second part, the operating performance of Building Integrated Photovoltaics on facades is investigated by means of two Free-Field measurements on different locations under a longer period."
2-s2.0-85143720759,Einfaches und schnelles dynamisches Modell für die Vorhersage des PV-Eigenverbrauchs,2022,Bauphysik,0,10.1002/bapi.202200033,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"However, the integration of PV into the building is complex and requires the use of electrical and/or thermal energy storage and appropriate control strategies."
